#    L    TT             EE             BB             TE          
   372    0.21630E+04    0.22637E+02    0.47175E-01    0.50092E+02
   373    0.21469E+04    0.22713E+02    0.47325E-01    0.48008E+02
   374    0.21314E+04    0.22787E+02    0.47476E-01    0.45917E+02
   375    0.21163E+04    0.22855E+02    0.47627E-01    0.43817E+02
   376    0.21018E+04    0.22921E+02    0.47778E-01    0.41709E+02
   377    0.20878E+04    0.22981E+02    0.47930E-01    0.39596E+02
   378    0.20742E+04    0.23037E+02    0.48083E-01    0.37475E+02
   379    0.20611E+04    0.23090E+02    0.48236E-01    0.35351E+02
   380    0.20486E+04    0.23139E+02    0.48389E-01    0.33222E+02
   381    0.20365E+04    0.23181E+02    0.48544E-01    0.31090E+02
   382    0.20249E+04    0.23221E+02    0.48698E-01    0.28957E+02
   383    0.20138E+04    0.23255E+02    0.48854E-01    0.26820E+02
   384    0.20033E+04    0.23285E+02    0.49010E-01    0.24685E+02
   385    0.19931E+04    0.23313E+02    0.49167E-01    0.22550E+02
   386    0.19835E+04    0.23335E+02    0.49324E-01    0.20416E+02
   387    0.19744E+04    0.23352E+02    0.49482E-01    0.18285E+02
   388    0.19657E+04    0.23365E+02    0.49641E-01    0.16157E+02
   389    0.19575E+04    0.23372E+02    0.49801E-01    0.14033E+02
   390    0.19498E+04    0.23377E+02    0.49962E-01    0.11915E+02
   391    0.19427E+04    0.23377E+02    0.50123E-01    0.98013E+01
   392    0.19359E+04    0.23374E+02    0.50285E-01    0.76955E+01
